Humidity,Temperature,Hour,Minute,Humidity_Future,Temperature_Future,Hour_Future,Minute_Future
66.0,33.5,16.0,42.0,89.0,27.8,22.0,42.0
66.0,33.5,16.0,42.0,89.0,28.0,22.0,42.0
66.0,33.5,16.0,43.0,89.0,28.0,22.0,42.0
66.0,33.5,16.0,43.0,89.0,28.0,22.0,43.0
66.0,33.5,16.0,43.0,89.0,28.0,22.0,43.0
66.0,33.5,16.0,43.0,89.0,27.8,22.0,43.0
66.0,33.5,16.0,43.0,88.0,27.8,22.0,43.0
66.0,33.5,16.0,43.0,88.0,27.8,22.0,43.0
66.0,33.5,16.0,44.0,89.0,27.8,22.0,44.0
66.0,33.5,16.0,44.0,89.0,27.9,22.0,44.0
66.0,33.2,16.0,44.0,89.0,27.8,22.0,44.0
66.0,33.5,16.0,44.0,89.0,27.8,22.0,44.0
66.0,33.5,16.0,44.0,89.0,27.8,22.0,44.0
66.0,33.5,16.0,44.0,89.0,27.8,22.0,45.0
66.0,33.5,16.0,45.0,89.0,28.0,22.0,45.0
66.0,33.5,16.0,45.0,89.0,27.9,22.0,45.0
66.0,33.5,16.0,45.0,89.0,27.9,22.0,45.0
67.0,33.5,16.0,45.0,89.0,27.8,22.0,45.0
65.0,33.5,16.0,45.0,89.0,27.8,22.0,45.0
65.0,33.5,16.0,45.0,89.0,27.8,22.0,46.0
65.0,33.5,16.0,46.0,89.0,27.8,22.0,46.0
65.0,33.5,16.0,46.0,88.0,27.8,22.0,46.0
65.0,33.5,16.0,46.0,88.0,27.8,22.0,46.0
65.0,33.5,16.0,46.0,88.0,27.8,22.0,46.0
65.0,33.5,16.0,46.0,88.0,27.8,22.0,46.0
66.0,33.5,16.0,47.0,88.0,27.8,22.0,46.0
67.0,33.5,16.0,47.0,88.0,27.8,22.0,47.0
65.0,33.5,16.0,47.0,88.0,27.8,22.0,47.0
65.0,33.5,16.0,47.0,88.0,27.8,22.0,47.0
65.0,33.5,16.0,47.0,88.0,27.8,22.0,47.0
65.0,33.5,16.0,47.0,88.0,28.1,22.0,47.0
65.0,33.5,16.0,48.0,88.0,27.9,22.0,47.0
65.0,33.5,16.0,48.0,88.0,27.9,22.0,48.0
65.0,33.5,16.0,48.0,88.0,27.8,22.0,48.0
65.0,33.5,16.0,48.0,88.0,27.8,22.0,48.0
66.0,33.5,16.0,48.0,88.0,28.0,22.0,48.0
66.0,33.5,16.0,48.0,88.0,27.8,22.0,48.0
65.0,33.5,16.0,49.0,89.0,27.9,22.0,49.0
65.0,33.5,16.0,49.0,89.0,27.8,22.0,49.0
65.0,33.5,16.0,49.0,89.0,27.8,22.0,49.0
65.0,33.5,16.0,49.0,88.0,27.8,22.0,49.0
65.0,33.5,16.0,49.0,88.0,27.8,22.0,49.0
65.0,33.5,16.0,49.0,88.0,27.8,22.0,49.0
65.0,33.5,16.0,50.0,88.0,27.8,22.0,50.0
65.0,33.5,16.0,50.0,88.0,27.8,22.0,50.0
65.0,33.5,16.0,50.0,88.0,28.0,22.0,50.0
65.0,33.2,16.0,50.0,88.0,27.8,22.0,50.0
65.0,33.0,16.0,50.0,88.0,27.8,22.0,50.0
66.0,33.0,16.0,50.0,88.0,27.8,22.0,50.0
66.0,33.0,16.0,51.0,88.0,27.8,22.0,51.0
66.0,33.0,16.0,51.0,88.0,27.8,22.0,51.0
66.0,33.0,16.0,51.0,88.0,27.8,22.0,51.0
66.0,33.0,16.0,51.0,88.0,27.8,22.0,51.0
66.0,33.1,16.0,51.0,88.0,27.8,22.0,51.0
66.0,33.0,16.0,52.0,89.0,27.8,22.0,52.0
66.0,33.0,16.0,52.0,89.0,27.8,22.0,52.0
66.0,33.0,16.0,52.0,89.0,27.8,22.0,52.0
66.0,33.0,16.0,52.0,89.0,28.0,22.0,52.0
66.0,33.0,16.0,52.0,89.0,28.0,22.0,52.0
66.0,33.0,16.0,52.0,89.0,27.9,22.0,52.0
66.0,33.0,16.0,53.0,89.0,28.0,22.0,53.0
